nota_fiscal;estabelecimento;pn_fornecedor;descricao_fornecedor;data_fiscal;item;numero_processo;Contrato;status_do_contrato;vencimento;depto_de_compras;quantidade_unidade_estoque;preco_total_linha;cond.pagamento;departamento;família;gestão;curva
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN190520903;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;3063;12129,48;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210690914;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;55;620,95;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN220110002;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;92;326,6;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN220210004;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;151;776,14;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN190520902;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;147;784,98;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN000004060;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;283;2411,16;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210690901;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;149;2455,52;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210690901;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;4389;53589,69;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
4592;SRS;070077759;CONSIGAS DISTRIBUIDORA LTDA;26/06/2026;DCN271110002;OC0063880;CS0000866;Ativo;11/07/2026;SRSFAB;1792;1792,26;30 DIAS;MANUFATURA SRS;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL SRS;C
1447;SRS;070077759;CONSIGAS DISTRIBUIDORA LTDA;26/06/2026;DCN271110002;OC0063881;CS0000866;Ativo;11/07/2026;SRSFAB;891;890,71;30 DIAS;MANUFATURA SRS;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL SRS;C
4609;SRS;070077759;CONSIGAS DISTRIBUIDORA LTDA;26/06/2026;DCN271110002;OC0064020;CS0000866;Ativo;11/07/2026;SRSFAB;1991;1991,4;30 DIAS;MANUFATURA SRS;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL SRS;C
878079;SRS;070001565;ADP BRASIL LTDA;26/06/2026;DCSR00010303;OC0063897;CS0000799;Ativo;31/05/2028;SRSADM;38568,47;38568,47;30 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
175659;SRS;090073255;ATLAS COPCO BRASIL LTDA;26/06/2026;DCSR00140101;OC0063318;CS0000869;Ativo;31/05/2027;SRSFAB;5608,32;5608,32;30 DIAS;MANUFATURA SRS;MANUTENÇÃO MECÂNICA;INDUSTRIAL SRS;B
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN000004060;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;168;1932;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
64065;VIES;070092290;ICATU SEGUROS S/A;26/06/2026;DCSR99999904;OC0064065;CS0001114;Ativo;30/09/2027;VIESAD;62669,56;62669,56;30 DIAS;RECURSOS HUMANOS;1500-SEGURO DE VIDA;ADMINISTRATIVO;
1444;OUROS;070077759;CONSIGAS DISTRIBUIDORA LTDA;26/06/2026;MG1020035006;OC0063866;CS0000877;Ativo;22/02/2026;COFAB;3202,2;28268,06;30 DIAS;MANUFATURA CO;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL CO;C
209431;VIES;090002225;TELEFONICA BRASIL S.A;26/06/2026;DCSR99999905;OC0063981;CS0000937;Ativo;27/03/2027;VIESAD;796,9;796,9;30 DIAS;TI;SERVIÇOS TELEFONIA;ADMINISTRATIVO;C
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210111902;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;41;497,74;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
364;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;26/06/2026;DCN210111901;OC0064026;CS0000964;Ativo;05/08/2026;SRSADM;153;726,75;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
174727;VIES;090073255;ATLAS COPCO BRASIL LTDA;25/06/2026;DCSR00140101;OC0063904;CS0000838;Ativo;31/01/2027;VIESFB;1;5208,89;30 DIAS;MANUFATURA VIES;MANUTENÇÃO MECÂNICA;INDUSTRIAL VIES;B
33043;VIESADM;070001544;INFOR DO BRASIL SOFTWARES LTDA.;25/06/2026;DCSR00010507;OC0063340;CS0001125;Ativo;31/12/2028;DDAADM;42344,91;42344,91;30 DIAS;TI;SISTEMA RP INFOR  ;ADMINISTRATIVO;
198498;SRS;090006275;EXC CARD ADM PROCE. CARTOES SA;25/06/2026;DCSR00150101;OC0064047;CS0000936;Ativo;30/12/2026;SRSADM;14478,31;14478,31;20 DIAS;RECURSOS HUMANOS;BENEFICIO ;ADMINISTRATIVO;C
67107;SRS;070092299;FINNET S/A - TECNOLOGIA E INSTITUIC;25/06/2026;DCSR00010303;OC0064085;CS0001115;Ativo;01/10/2026;SRSADM;1;799,95;7 DIAS;FINANCEIRO;SERVIÇOS PRESTADOS;ADMINISTRATIVO;
22387;OUROS;070000629;EXCEL SERV. EM METROLOGIA LTDA;25/06/2026;DCSR00170901;OC0063815;CS0000719;Ativo;31/03/2050;COFAB;11811,98;11811,98;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL CO;C
9009351;OUROS;070000621;CIA DE SANEAMENTO MG COPASA MG;25/06/2026;DCN220110000;OC0063707;CS0000891;Ativo;31/03/2050;COFAB;5989;5989,41;30 DIAS;MANUFATURA CO;ÁGUA E ESGOTO;INDUSTRIAL CO;B
239;VIES;070091194;MANOEL SEVERO DA SILVA;25/06/2026;DCSR00070203;OC0063846;CS0001035;Ativo;30/12/2026;VIESFB;5200;5200;30 DIAS;MANUFATURA VIES;TERCEIROS ;INDUSTRIAL VIES;C
12746829;VIES;090002225;TELEFONICA BRASIL S.A;25/06/2026;DCN999999996;OC0063980;CS0000937;Ativo;27/03/2027;VIESAD;1364;1363,94;30 DIAS;TI;SERVIÇOS TELEFONIA;ADMINISTRATIVO;C
259;SRS;070091018;VERZANI & SANDRINI SEG. PATRIMONIAL;25/06/2026;DCSR00110201;OC0063913;CS0001051;Ativo;23/02/2027;SRSADM;49343,19;49343,19;30 DIAS;SEGURANÇA PATRIMONIAL;VIGILANCIA/PORTARIA ;SEGURANÇA PATRIMONIAL;A
9800;SRS;070076083;VENETUR TURISMO LTDA;24/06/2026;DCSR00160102;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;21840;21840;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
43787;OUROS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;24/06/2026;DCSR00070901;OC0063433;CS0000871;Ativo;31/03/2050;COFAB;2550;2550;15 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL CO;B
202697628;SRS;070090626;D-SAAS TECN EM DESENV.DE SOFT.LTDA;24/06/2026;DCSR00010516;OC0063998;CS0001002;Ativo;31/12/2026;SRSADM;562,81;562,81;5 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
168382;VIES;070075619;KOLETUS TRANS COLE RESID LTDA;24/06/2026;DCSR00070901;OC0063663;CS0000666;Ativo;14/10/2026;VIESFB;21734,95;21734,95;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;A
9799;SRS;070076083;VENETUR TURISMO LTDA;24/06/2026;DCSR00160102;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;14726,4;14726,4;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
9798;SRS;070076083;VENETUR TURISMO LTDA;24/06/2026;DCSR00160102;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;7685,2;7685,2;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
9797;SRS;070076083;VENETUR TURISMO LTDA;24/06/2026;DCSR00160102;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;18805,64;18805,64;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
9796;SRS;070076083;VENETUR TURISMO LTDA;24/06/2026;DCSR00160102;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;53196,75;53196,75;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
9795;SRS;070076083;VENETUR TURISMO LTDA;24/06/2026;DCSR00160102;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;16882,44;16882,44;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
477;SRS;070076083;VENETUR TURISMO LTDA;24/06/2026;DCSR00160101;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;50338,06;50338,06;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN190520902;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;3;19,71;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
2757;OUROS;070076175;ANDREA CARVALHO DESP.EIRELI-ME;24/06/2026;DCSR00330106;OC0063822;CS0000801;Ativo;31/03/2050;COFAB;1500;1500;30 DIAS;MANUFATURA CO;SERVIÇOS PRESTADOS;INDUSTRIAL CO;C
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN210690909;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;49;66,15;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN210609026;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;49;1031,45;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
43788;OUROS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;24/06/2026;DCSR00070901;OC0063433;CS0000871;Ativo;31/03/2050;COFAB;102;102;15 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL CO;B
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN210690914;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;23;305,67;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN200980001;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;2243;2243;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN220110002;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;112;409,92;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN190520903;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;114;555,18;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN210690901;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;2243;34968,37;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
80845;VIES;070076256;L ALLEGRO RESTAURANTE LTDA;24/06/2026;DCN000004720;OC0063852;CS0001093;Ativo;01/07/2026;VIESAD;12;70,32;15 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;
68876;VIES;070076289;SERVICO SOCIAL DA INDUST. SESI;23/06/2026;DCSR00060401;OC0064015;CS0000939;Ativo;31/03/2050;VIESAD;789;789;15 DIAS;RECURSOS HUMANOS;OUTRAS DESPESAS COM PESSOAL;ADMINISTRATIVO;C
20352;VIES;090000133;EXTELLPP EQUIP.E EXTINT.LTDA;23/06/2026;DCSR00140102;OC0063957;CS0000662;Ativo;31/03/2050;VIESFB;1000;1000;15 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;C
20210;VIES;090000133;EXTELLPP EQUIP.E EXTINT.LTDA;23/06/2026;DCSR00140102;OC0063957;CS0000662;Ativo;31/03/2050;VIESFB;1000;1000;15 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;C
22391;OUROS;070000629;EXCEL SERV. EM METROLOGIA LTDA;23/06/2026;DCSR00170901;OC0057229;CS0000719;Ativo;31/03/2050;COFAB;1025,04;1025,04;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL CO;C
2357;SRS;070076083;VENETUR TURISMO LTDA;23/06/2026;DCSR00160102;OC0063890;CS0000773;Ativo;25/08/2026;SRSADM;1737,2;1737,2;30 DIAS;RECURSOS HUMANOS;TRANSPORTE FUNCIONÁRIOS;ADMINISTRATIVO;A
2540;VIES;070091805;SERVIG SERVICOS LTDA;23/06/2026;DCSR00170526;OC0063542;CS0001079;Ativo;01/11/2026;VIESFB;92282,94;92282,94;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;A
445080;SRS;070000621;CIA DE SANEAMENTO MG COPASA MG;23/06/2026;DCN220110000;OC0062347;CS0000878;Ativo;31/03/2050;SRSFAB;18561;18561,27;30 DIAS;MANUFATURA SRS;ÁGUA E ESGOTO;INDUSTRIAL SRS;B
22423;SRS;070000629;EXCEL SERV. EM METROLOGIA LTDA;23/06/2026;DCSR00170901;OC0063501;CS0000728;Ativo;30/06/2026;SRSFAB;22050,54;22050,54;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;C
22424;SRS;070000629;EXCEL SERV. EM METROLOGIA LTDA;23/06/2026;DCSR00170901;OC0063501;CS0000728;Ativo;30/06/2026;SRSFAB;602,64;602,64;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;C
164;SRS;090006491;ARQUIVO FACIL GESTAO DOC.LTDA.;23/06/2026;DCSR00170313;OC0064008;CS0000945;Ativo;16/07/2026;SRSADM;7953,35;7953,35;30 DIAS;CONTROLADORIA;SERVIÇOS PRESTADOS;ADMINISTRATIVO;C
243;SRS;090099910;GARCIA MONACO CONS E PLAN LTDA;23/06/2026;DCSR00070109;OC0058785;CS0000862;Ativo;31/03/2050;SRSFAB;2361;2361;15 DIAS;QSMA;SERVIÇOS JURIDICOS;INDUSTRIAL SRS;B
282755;SRS;070000621;CIA DE SANEAMENTO MG COPASA MG;23/06/2026;DCN220110000;OC0063818;CS0000878;Ativo;31/03/2050;SRSFAB;21054;21054,03;30 DIAS;MANUFATURA SRS;ÁGUA E ESGOTO;INDUSTRIAL SRS;B
603310;SRS;070000748;ALSCO TOALHEIRO BRASIL LTDA;23/06/2026;DCSR99999901;OC0059390;CS0000864;Ativo;20/02/2026;SRSFAB;1;404,45;30 DIAS;MANUFATURA SRS;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;INDUSTRIAL SRS;B
603310;SRS;070000748;ALSCO TOALHEIRO BRASIL LTDA;23/06/2026;DCSR99999901;OC0058198;CS0000864;Ativo;20/02/2026;SRSFAB;5391,91;5391,91;30 DIAS;MANUFATURA SRS;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;INDUSTRIAL SRS;B
2680;SRS;070092047;EDUARDO SODRE ALVES DA SILVA;23/06/2026;DCSR00140102;OC0063882;CS0001098;Ativo;10/06/2027;SRSFAB;2500;2500;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;
2559;SRS;070091805;SERVIG SERVICOS LTDA;23/06/2026;DCSR00170526;OC0063823;CS0001084;Ativo;23/11/2026;SRSFAB;58323,15;58323,15;30 DIAS;SEGURANÇA PATRIMONIAL;LIMPEZA/FACILITIES;INDUSTRIAL SRS;A
2558;SRS;070091805;SERVIG SERVICOS LTDA;23/06/2026;DCSR00170526;OC0063604;CS0001084;Ativo;23/11/2026;SRSFAB;55333,07;55333,07;30 DIAS;SEGURANÇA PATRIMONIAL;LIMPEZA/FACILITIES;INDUSTRIAL SRS;A
4128;SRS;090002472;D.D.DISK SANEAM AMB LTDA ME;23/06/2026;DCSR00071301;OC0058851;CS0000863;Ativo;03/08/2026;SRSFAB;1;1150;30 DIAS;QSMA;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;INDUSTRIAL SRS;B
4606;OUROS;070077759;CONSIGAS DISTRIBUIDORA LTDA;23/06/2026;DCN271110002;OC0063993;CS0000877;Ativo;22/02/2026;COFAB;2;398,28;30 DIAS;MANUFATURA CO;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL CO;C
70310220;VIES;070075630;AMIL ASSIS. MEDICA INTER. S.A.;23/06/2026;DCSR00042202;OC0063895;CS0001104;Ativo;15/07/2027;VIESAD;87765,12;87765,12;30 DIAS;RECURSOS HUMANOS;ASSISTÊNCIA MÉDICA;ADMINISTRATIVO;
273182;VIES;090002225;TELEFONICA BRASIL S.A;23/06/2026;DCSR99999905;OC0063935;CS0000937;Ativo;27/03/2027;VIESAD;20,31;20,31;30 DIAS;TI;SERVIÇOS TELEFONIA;ADMINISTRATIVO;C
175;SRS;070091826;MANASSES DE SOUZA GOMES;22/06/2026;DCSR00260102;OC0063379;CS0001081;Ativo;21/11/2026;SRSFAB;1205;1205;10 DIAS;MANUFATURA SRS;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;C
36;SRS;070076278;ANDREIA ALVES FERNANDES;19/06/2026;DCSR00170532;OC0062176;CS0000987;Ativo;20/12/2027;SRSFAB;7350;7350;30 DIAS;MANUFATURA SRS;TERCEIROS ;INDUSTRIAL SRS;B
4129;OUROS;090002472;D.D.DISK SANEAM AMB LTDA ME;19/06/2026;DCSR00071301;OC0063755;CS0000881;Ativo;01/09/2026;COFAB;1;1100;30 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL CO;B
12457039;VIES;090002225;TELEFONICA BRASIL S.A;19/06/2026;DCN999999996;OC0063865;CS0000937;Ativo;27/03/2027;VIESAD;123;122,57;30 DIAS;TI;SERVIÇOS TELEFONIA;ADMINISTRATIVO;C
12458782;VIES;090002225;TELEFONICA BRASIL S.A;19/06/2026;DCN999999996;OC0063858;CS0000937;Ativo;27/03/2027;VIESAD;210;210;30 DIAS;TI;SERVIÇOS TELEFONIA;ADMINISTRATIVO;C
118977;VIES;090010054;VERZANI E SANDRINI LTDA;19/06/2026;DCSR00110203;OC0062062;CS0001046;Ativo;16/04/2027;VIESAD;1973,41;1973,41;45 DIAS;SEGURANÇA PATRIMONIAL;VIGILANCIA/PORTARIA ;SEGURANÇA PATRIMONIAL;A
4154;SRS;070091514;GRC SOLUTIONS CONSULTORIA;19/06/2026;DCSR00170105;OC0063816;CS0001057;Ativo;31/12/2026;SRSADM;1238;1238;20 DIAS;SUPPLY;OUTROS;SUPPLY;B
12457980;SRS;090002225;TELEFONICA BRASIL S.A;19/06/2026;DCN999999996;OC0063864;CS0001138;Ativo;31/03/2027;SRSADM;327;327,02;15 DIAS;TI;SERVIÇOS TELEFONIA;ADMINISTRATIVO;
37;SRS;070076278;ANDREIA ALVES FERNANDES;19/06/2026;DCSR00170532;OC0061146;CS0000987;Ativo;20/12/2027;SRSFAB;7700;7700;30 DIAS;MANUFATURA SRS;TERCEIROS ;INDUSTRIAL SRS;B
7540;333;090003565;IMIGRANTES EMPREEND. PART.LTDA;19/06/2026;DCSR99999908;OC0063307;CS0000696;Ativo;30/06/2026;333ADM;50395,12;50395,12;30 DIAS;FINANCEIRO;ALUGUÉIS DIVERSOS;ADMINISTRATIVO;C
43791;SRS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;18/06/2026;DCSR00070901;OC0063727;CS0000894;Ativo;30/03/2027;SRSFAB;1327,9;1327,9;21 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;B
363;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/06/2026;DCN000004090;OC0063785;CS0000964;Ativo;05/08/2026;SRSADM;8;95,84;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
363;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/06/2026;DCN000004088;OC0063785;CS0000964;Ativo;05/08/2026;SRSADM;3;46,26;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
21626;VIES;070091656;2E TRANSPORTE E REMOCAO DE ENTULHO;18/06/2026;DCSR00070916;OC0063715;CS0001142;Ativo;30/05/2027;VIESFB;6;2280;30 DIAS;MANUFATURA VIES;GESTÃO AMBIENTAL;INDUSTRIAL VIES;
2391269;VIES;070092293;IFOOD BENEFICIOS E SERVICOS LTDA.;18/06/2026;DCSR00100203;OC0063689;CS0001116;Ativo;16/10/2027;VIESAD;250;250;A VISTA;RECURSOS HUMANOS;TICKET ALIMENTAÇÃO;ADMINISTRATIVO;
118828;VIES;090010054;VERZANI E SANDRINI LTDA;18/06/2026;DCSR00110203;OC0063499;CS0001046;Ativo;16/04/2027;VIESAD;35318,38;35318,38;45 DIAS;SEGURANÇA PATRIMONIAL;VIGILANCIA/PORTARIA ;SEGURANÇA PATRIMONIAL;A
118246;VIES;090010054;VERZANI E SANDRINI LTDA;18/06/2026;DCSR00110203;OC0062984;CS0001046;Ativo;16/04/2027;VIESAD;1973,41;1973,41;45 DIAS;SEGURANÇA PATRIMONIAL;VIGILANCIA/PORTARIA ;SEGURANÇA PATRIMONIAL;A
363;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/06/2026;DCN000004091;OC0063785;CS0000964;Ativo;05/08/2026;SRSADM;7;157,71;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
43792;SRS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;18/06/2026;DCSR00070901;OC0063728;CS0000894;Ativo;30/03/2027;SRSFAB;2550;2550;21 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;B
1403;SRS;070077759;CONSIGAS DISTRIBUIDORA LTDA;18/06/2026;DCN271110002;OC0063653;CS0000866;Ativo;11/07/2026;SRSFAB;673;672,67;30 DIAS;MANUFATURA SRS;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL SRS;C
43794;SRS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;18/06/2026;DCSR00070901;OC0063730;CS0000894;Ativo;30/03/2027;SRSFAB;2550;2550;21 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;B
363;SRS;070076291;L ALLEGRO RESTAURANTE LTDA;18/06/2026;DCN000004089;OC0063785;CS0000964;Ativo;05/08/2026;SRSADM;24;287,52;30 DIAS;RECURSOS HUMANOS;ALIMENTAÇÃO;ADMINISTRATIVO;A
7592;333;090003565;IMIGRANTES EMPREEND. PART.LTDA;18/06/2026;DCSR99999907;OC0063311;CS0000696;Ativo;30/06/2026;333ADM;6295,1;6295,1;30 DIAS;FINANCEIRO;ALUGUÉIS DIVERSOS;ADMINISTRATIVO;C
11032;333;070090912;GLOBAL MOVING SOLUTIONS LTDA;18/06/2026;DCSR99999918;OC0063581;CS0001021;Ativo;30/10/2026;333ADM;5530,46;5530,46;30 DIAS;REPOSIÇÃO;ALUGUÉIS DIVERSOS;INDUSTRIAL VIES;B
11020;333;070090912;GLOBAL MOVING SOLUTIONS LTDA;18/06/2026;DCSR99999918;OC0063581;CS0001021;Ativo;30/10/2026;333ADM;3307,43;3307,43;30 DIAS;REPOSIÇÃO;ALUGUÉIS DIVERSOS;INDUSTRIAL VIES;B
11018;333;070090912;GLOBAL MOVING SOLUTIONS LTDA;18/06/2026;DCSR99999918;OC0063581;CS0001021;Ativo;30/10/2026;333ADM;3200;3200;30 DIAS;REPOSIÇÃO;ALUGUÉIS DIVERSOS;INDUSTRIAL VIES;B
94328;OUROS;070077759;CONSIGAS DISTRIBUIDORA LTDA;18/06/2026;MG1020035006;OC0063406;CS0000877;Ativo;22/02/2026;COFAB;4203,3;37105,47;30 DIAS;MANUFATURA CO;MATERIAIS AUXILIARES E MATERIAIS INDIRETOS;INDUSTRIAL CO;C
107;OUROS;070000726;SOLTECH SOLUÇÕES INDUSTRIAIS E CIA;18/06/2026;DCSR00141302;OC0063151;CS0000868;Ativo;15/10/2026;COFAB;2204,7729;28640;30 DIAS;MANUFATURA CO;MANUTENÇÃO MECÂNICA;INDUSTRIAL CO;B
108;OUROS;070000726;SOLTECH SOLUÇÕES INDUSTRIAIS E CIA;18/06/2026;DCSR00141302;OC0063152;CS0000885;Ativo;15/10/2026;COFAB;623;8092,77;30 DIAS;MANUFATURA CO;MANUTENÇÃO MECÂNICA;INDUSTRIAL CO;B
109;OUROS;070000726;SOLTECH SOLUÇÕES INDUSTRIAIS E CIA;18/06/2026;DCSR00141307;OC0063153;CS0000890;Ativo;15/10/2026;COFAB;108;2158,92;30 DIAS;MANUFATURA CO;MANUTENÇÃO MECÂNICA;INDUSTRIAL CO;B
43789;OUROS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;18/06/2026;DCSR00070901;OC0063431;CS0000871;Ativo;31/03/2050;COFAB;4667,15;4667,15;15 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL CO;B
43793;SRS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;18/06/2026;DCSR00070901;OC0063729;CS0000894;Ativo;30/03/2027;SRSFAB;1891,5;1891,5;21 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;B
34279;SRS;070091137;KPMG ASSESSORES LTDA;18/06/2026;DCSR00171901;OC0063565;CS0001111;Ativo;30/05/2027;SRSADM;1;36000;30 DIAS;CONTROLADORIA;SERVIÇOS PRESTADOS;ADMINISTRATIVO;
35001;VIES;070091672;ADVANCED INFORMATICA LTDA;17/06/2026;DCSR00010608;OC0063557;CS0001128;Ativo;31/12/2026;VIESAD;5,84;5,84;21 DIAS;TI;Licença Teams cha /Teams Phone;ADMINISTRATIVO;
